epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2076.4,0.84575,0.61094,0.96908,0.86989,0.65839,0.70367,0.43592,1.38763,1.13295,1.22386,5.07115e-05,5.07115e-05,5.07115e-05
89,2129.2,0.85707,0.62276,0.97004,0.89466,0.65192,0.70543,0.43738,1.38647,1.13837,1.22605,4.47606e-05,4.47606e-05,4.47606e-05
90,2175.98,0.83713,0.61487,0.96961,0.88046,0.65032,0.70666,0.43755,1.37966,1.13233,1.2193,3.9264e-05,3.9264e-05,3.9264e-05
91,2250.86,0.78626,0.55283,0.94338,0.86899,0.65415,0.70574,0.43712,1.37399,1.13265,1.21094,3.4227e-05,3.4227e-05,3.4227e-05
92,2304.75,0.77563,0.55165,0.93836,0.85452,0.66825,0.7097,0.44207,1.35815,1.10895,1.20863,2.96546e-05,2.96546e-05,2.96546e-05
93,2357.36,0.77565,0.54351,0.93806,0.86418,0.65653,0.70111,0.43958,1.36838,1.12053,1.21362,2.55513e-05,2.55513e-05,2.55513e-05
94,2408.06,0.77247,0.54112,0.94025,0.85719,0.66157,0.70262,0.43938,1.37206,1.12704,1.21597,2.19212e-05,2.19212e-05,2.19212e-05
95,2460.07,0.77206,0.54137,0.93741,0.88419,0.65128,0.7026,0.44001,1.36962,1.12283,1.21927,1.87678e-05,1.87678e-05,1.87678e-05
96,2512.15,0.77221,0.5392,0.93828,0.87962,0.65107,0.70201,0.44156,1.36611,1.12347,1.21881,1.60943e-05,1.60943e-05,1.60943e-05
97,2562.51,0.77239,0.5397,0.93565,0.85117,0.6681,0.70584,0.44336,1.36764,1.12577,1.21893,1.39032e-05,1.39032e-05,1.39032e-05
98,2613.29,0.77211,0.53838,0.93718,0.85459,0.6669,0.70433,0.44078,1.36621,1.12413,1.21595,1.21968e-05,1.21968e-05,1.21968e-05
99,2664.02,0.76606,0.53681,0.93452,0.86643,0.66218,0.70443,0.44111,1.36582,1.12577,1.21712,1.09768e-05,1.09768e-05,1.09768e-05
100,2714.18,0.76655,0.53697,0.93675,0.87983,0.65218,0.70228,0.44136,1.36543,1.12901,1.21544,1.02443e-05,1.02443e-05,1.02443e-05
